County,Year,Month,Max_Temp
ALAMEDA,2000,1,57
ALAMEDA,2000,2,57.7
ALAMEDA,2000,3,63.1
ALAMEDA,2000,4,68.9
ALAMEDA,2000,5,73.3
ALAMEDA,2000,6,80.9
ALAMEDA,2000,7,79.2
ALAMEDA,2000,8,82.6
ALAMEDA,2000,9,81.2
ALAMEDA,2000,10,70
ALAMEDA,2000,11,58.8
ALAMEDA,2000,12,57.9
ALAMEDA,2001,1,55.4
ALAMEDA,2001,2,56.4
ALAMEDA,2001,3,65.7
ALAMEDA,2001,4,63.8
ALAMEDA,2001,5,81.5
ALAMEDA,2001,6,82.6
ALAMEDA,2001,7,81.1
ALAMEDA,2001,8,82.7
ALAMEDA,2001,9,79.8
ALAMEDA,2001,10,75.9
ALAMEDA,2001,11,63.7
ALAMEDA,2001,12,54.5
ALAMEDA,2002,1,54.3
ALAMEDA,2002,2,61
ALAMEDA,2002,3,61.9
ALAMEDA,2002,4,66.1
ALAMEDA,2002,5,71.9
ALAMEDA,2002,6,78.8
ALAMEDA,2002,7,83.5
ALAMEDA,2002,8,82.7
ALAMEDA,2002,9,82.8
ALAMEDA,2002,10,73
ALAMEDA,2002,11,65.2
ALAMEDA,2002,12,56.5
ALAMEDA,2003,1,59.5
ALAMEDA,2003,2,58.8
ALAMEDA,2003,3,64.5
ALAMEDA,2003,4,61.4
ALAMEDA,2003,5,72.5
ALAMEDA,2003,6,79.1
ALAMEDA,2003,7,86.3
ALAMEDA,2003,8,82.6
ALAMEDA,2003,9,83
ALAMEDA,2003,10,78
ALAMEDA,2003,11,59.6
ALAMEDA,2003,12,55.4
ALAMEDA,2004,1,54.1
ALAMEDA,2004,2,57.2
ALAMEDA,2004,3,70.3
ALAMEDA,2004,4,70.7
ALAMEDA,2004,5,73.1
ALAMEDA,2004,6,77.8
ALAMEDA,2004,7,82.2
ALAMEDA,2004,8,83
ALAMEDA,2004,9,82.8
ALAMEDA,2004,10,70.5
ALAMEDA,2004,11,60.1
ALAMEDA,2004,12,56.6
ALAMEDA,2005,1,53.2
ALAMEDA,2005,2,59.2
ALAMEDA,2005,3,64.4
ALAMEDA,2005,4,65.5
ALAMEDA,2005,5,71.6
ALAMEDA,2005,6,75.5
ALAMEDA,2005,7,85.9
ALAMEDA,2005,8,84.5
ALAMEDA,2005,9,77.4
ALAMEDA,2005,10,73.3
ALAMEDA,2005,11,65.7
ALAMEDA,2005,12,57.7
ALAMEDA,2006,1,56.9
ALAMEDA,2006,2,61.1
ALAMEDA,2006,3,56.3
ALAMEDA,2006,4,62.8
ALAMEDA,2006,5,74.6
ALAMEDA,2006,6,81.4
ALAMEDA,2006,7,88
ALAMEDA,2006,8,81.5
ALAMEDA,2006,9,80.2
ALAMEDA,2006,10,71.7
ALAMEDA,2006,11,62.2
ALAMEDA,2006,12,57
ALAMEDA,2007,1,56.3
ALAMEDA,2007,2,58
ALAMEDA,2007,3,67.6
ALAMEDA,2007,4,68.1
ALAMEDA,2007,5,73.6
ALAMEDA,2007,6,79.4
ALAMEDA,2007,7,82.4
ALAMEDA,2007,8,83.6
ALAMEDA,2007,9,77.7
ALAMEDA,2007,10,70.7
ALAMEDA,2007,11,65.9
